OriginAirportID,DestAirportID,DayOfWeek,delay_events,n,smoothed_delay_prob
10397,14730,6,6,25,0.25925925925925924
10397,14730,7,11,28,0.4
10397,14747,1,4,23,0.2
10397,14747,2,4,18,0.25
10397,14747,3,5,35,0.16216216216216217
10397,14747,4,2,28,0.1
10397,14747,5,3,26,0.14285714285714285
10397,14747,6,3,22,0.16666666666666666
10397,14747,7,4,28,0.16666666666666666
10397,14771,1,11,27,0.41379310344827586
10397,14771,2,3,25,0.14814814814814814
10397,14771,3,8,27,0.3103448275862069
10397,14771,4,7,20,0.36363636363636365
10397,14771,5,4,30,0.15625
10397,14771,6,4,29,0.16129032258064516
10397,14771,7,6,30,0.21875
10397,14831,1,1,2,0.5
10397,14831,2,0,2,0.25
10397,14831,3,0,5,0.14285714285714285
10397,14831,4,0,3,0.2
10397,14831,5,1,2,0.5
10397,14831,6,0,2,0.25
10397,14831,7,2,5,0.42857142857142855
10397,14843,1,1,17,0.10526315789473684
10397,14843,2,0,17,0.05263157894736842
10397,14843,3,5,19,0.2857142857142857
10397,14843,4,3,12,0.2857142857142857
10397,14843,5,4,12,0.35714285714285715
10397,14843,6,2,16,0.16666666666666666
10397,14843,7,6,18,0.35
10397,14869,1,7,33,0.22857142857142856
10397,14869,2,2,25,0.1111111111111111
10397,14869,3,4,23,0.2
10397,14869,4,1,22,0.08333333333333333
10397,14869,5,1,19,0.09523809523809523
10397,14869,6,3,20,0.18181818181818182
10397,14869,7,1,20,0.09090909090909091
10397,14893,1,1,3,0.4
10397,14893,2,0,5,0.14285714285714285
10397,14893,3,2,6,0.375
10397,14893,4,0,9,0.09090909090909091
10397,14893,5,0,4,0.16666666666666666
10397,14893,6,0,2,0.25
10397,14893,7,1,11,0.15384615384615385
10397,14908,1,1,9,0.18181818181818182
10397,14908,2,2,13,0.2
10397,14908,3,2,9,0.2727272727272727
10397,14908,4,2,7,0.3333333333333333
10397,14908,5,1,6,0.25
10397,14908,6,1,9,0.18181818181818182
